Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 02/17  09:00:00,1.88734592151,5.75620156927,0.0,5.72808890582,0.0,0.139997131778,0.139997131778,0.139997131778,0.231037140861,0.049771545201,0.268600928953,0.408144195277,0.773150979439
 02/17  10:00:00,1.64434612817,4.99284130631,0.0,4.96891515639,0.0,0.121806743632,0.121806743632,0.121806743632,0.112701089013,0.0242788037928,0.329942516084,0.347363714635,0.691609261015
 02/17  11:00:00,1.5482396419,5.13039267698,0.0,5.10590382363,0.0,0.126690244074,0.126690244074,0.126690244074,0.090160839344,0.0194230361695,0.344788777527,0.355533134076,0.594999610704
 02/17  12:00:00,1.43062645528,3.22343297793,0.0,3.19893662187,0.0,0.0790598080729,0.0790598080729,0.0790598080729,0.090160839344,0.0194230361695,0.361031883506,0.355642059669,0.50866482852
 02/17  13:00:00,1.32599354051,2.31196286597,0.0,2.28787915909,0.0,0.0570336478132,0.0570336478132,0.0570336478132,0.090160839344,0.0194230361695,0.351753757089,0.349651152079,0.441327108018
 02/17  14:00:00,1.25282429305,1.84397532983,0.0,1.81905882187,0.0,0.0457710530044,0.0457710530044,0.0457710530044,0.090160839344,0.0194230361695,0.31775556627,0.361741892852,0.401327905411
 02/17  15:00:00,1.21397577136,1.7897390082,0.0,1.76341949301,0.0,0.0446290625693,0.0446290625693,0.0446290625693,0.0957958818448,0.0206369737848,0.292551191427,0.382110978658,0.361607683079
 02/17  16:00:00,1.27222306002,1.82879532454,0.0,1.80101278043,0.0,0.0457907800805,0.0457907800805,0.0457907800805,0.112701089013,0.0242788037928,0.302771399031,0.403351469205,0.366685518897
 02/17  17:00:00,1.53238555058,2.3117458285,0.0,2.27888394808,0.0,0.0580924487875,0.0580924487875,0.0580924487875,0.174686636187,0.0376321347236,0.353623489359,0.47709409536,0.414612746166
 02/17  18:00:00,2.05689773377,3.48303048772,0.0,3.44310855491,0.0,0.0876873258524,0.0876873258524,0.0876873258524,0.338103187372,0.0728363942165,0.444963271704,0.579593077948,0.517070476676
 02/17  19:00:00,2.46075616927,2.82465007995,0.0,2.78130691027,0.0,0.0696664138822,0.0696664138822,0.0696664138822,0.580410413235,0.125035814648,0.398173901519,0.629263148149,0.611562477836
 02/17  20:00:00,2.57999574789,2.75539078449,0.0,2.7106521103,0.0,0.067649778975,0.067649778975,0.067649778975,0.74382696442,0.160240091303,0.315239230802,0.649523308363,0.626872374028
 02/17  21:00:00,2.45207239539,3.03145103995,0.0,2.98517430971,0.0,0.074573712465,0.074573712465,0.074573712465,0.693111422582,0.149314618441,0.275771399459,0.671853054836,0.570804187611
 02/17  22:00:00,2.21551801888,3.38323751582,0.0,3.33804117617,0.0,0.083353957091,0.083353957091,0.083353957091,0.574775370734,0.123821877033,0.258240654531,0.656167769509,0.502514389983
 02/17  23:00:00,1.79824352827,3.80732623401,0.0,3.76821459414,0.0,0.0940012935071,0.0940012935071,0.0940012935071,0.428264026716,0.0922594475479,0.205783602099,0.567829113952,0.39346204445
 02/17  24:00:00,1.39162960015,4.33416413514,0.0,4.30017684785,0.0,0.107168008668,0.107168008668,0.107168008668,0.298657810201,0.0643388309091,0.135829802162,0.493432934242,0.275558213967
 02/18  01:00:00,0.980391964941,4.69816888965,0.0,4.67005622619,0.0,0.116365800977,0.116365800977,0.116365800977,0.152146386518,0.0327763842622,0.0928550823819,0.408144195277,0.161460115525
 02/18  02:00:00,0.802022951301,5.03650672484,0.0,5.01062236698,0.0,0.124486455085,0.124486455085,0.124486455085,0.090160839344,0.0194230361695,0.0760998372053,0.37579329429,0.0994154892068
 02/18  03:00:00,0.737434672915,5.23926966219,0.0,5.21368541282,0.0,0.129393657242,0.129393657242,0.129393657242,0.0619855790406,0.0133533395118,0.0622424290361,0.371436270588,0.0823793974963
 02/18  04:00:00,0.734740991314,5.49488696091,0.0,5.46966284174,0.0,0.135505846756,0.135505846756,0.135505846756,0.0619855790406,0.0133533395118,0.0538948626218,0.366207842146,0.087149521238
 02/18  05:00:00,0.782899491556,5.49633557393,0.0,5.47206429924,0.0,0.135536128801,0.135536128801,0.135536128801,0.0619855790406,0.0133533395118,0.0657425557055,0.352374291893,0.137263596605
 02/18  06:00:00,1.05953633399,5.46093459332,0.0,5.43384980147,0.0,0.134209130543,0.134209130543,0.134209130543,0.0676206374745,0.0145672805595,0.0799978719753,0.393221389098,0.353276024336
 02/18  07:00:00,1.66761859458,5.70570027985,0.0,5.67440646633,0.0,0.140267131335,0.140267131335,0.140267131335,0.129606216515,0.0279206166389,0.14030009709,0.454328646517,0.758551886486
 02/18  08:00:00,2.05708993043,5.10288384783,0.0,5.06963182636,0.0,0.1250722378,0.1250722378,0.1250722378,0.25921243303,0.0558412332777,0.228479448591,0.482758226172,0.874082351559
 02/18  09:00:00,1.96534434474,4.40789251924,0.0,4.37977985578,0.0,0.107902500189,0.107902500189,0.107902500189,0.231037140861,0.049771545201,0.301038229845,0.408144195277,0.850806733369
 02/18  10:00:00,1.72864600986,3.64663552027,0.0,3.62270937035,0.0,0.0894627289899,0.0894627289899,0.0894627289899,0.112701089013,0.0242788037928,0.37497357455,0.347363714635,0.763222098878
 02/18  11:00:00,1.62874311936,3.8178469434,0.0,3.79335809004,0.0,0.0947366852437,0.0947366852437,0.0947366852437,0.090160839344,0.0194230361695,0.395705006816,0.355533134076,0.656540417707
 02/18  12:00:00,1.50940270863,2.20724132211,0.0,2.18274496604,0.0,0.0542504160751,0.0542504160751,0.0542504160751,0.090160839344,0.0194230361695,0.413520643025,0.355642059669,0.559761714345
 02/18  13:00:00,1.39866172112,1.5257094185,0.0,1.50162571161,0.0,0.0375729458548,0.0375729458548,0.0375729458548,0.090160839344,0.0194230361695,0.39956426318,0.349651152079,0.485645484493
 02/18  14:00:00,1.31603033894,1.09376615351,0.0,1.06884964555,0.0,0.0269489043481,0.0269489043481,0.0269489043481,0.090160839344,0.0194230361695,0.361343598785,0.361741892852,0.439768067446
 02/18  15:00:00,1.26719069546,0.973570118263,0.0,0.947250603075,0.0,0.0239231615199,0.0239231615199,0.0239231615199,0.0957958818448,0.0206369737848,0.331676763602,0.382110978658,0.396402936052
 02/18  16:00:00,1.32766314906,1.18691156807,0.0,1.15912902396,0.0,0.0295756586875,0.0295756586875,0.0295756586875,0.112701089013,0.0242788037928,0.339830371887,0.403351469205,0.40128175648
 02/18  17:00:00,1.58544152345,1.31679352885,0.0,1.28393164843,0.0,0.0327990844028,0.0327990844028,0.0327990844028,0.174686636187,0.0376321347236,0.389541408607,0.47709409536,0.457044164165
 02/18  18:00:00,2.11954597242,2.53894207645,0.0,2.49902014364,0.0,0.0639957222873,0.0639957222873,0.0639957222873,0.338103187372,0.0728363942165,0.48031520192,0.579593077948,0.568058388678
 02/18  19:00:00,2.53908536174,1.92888268812,0.0,1.88553951844,0.0,0.0475953202857,0.0475953202857,0.0475953202857,0.580410413235,0.125035814648,0.432484217059,0.629263148149,0.677652448367
