Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 10/01  13:00:00,1.23248305944,0.517812739832,0.0,0.0,0.347611923377,0.119638745453,0.46725066883,0.119638745453,0.0824757707912,0.0169165857393,0.365867480721,0.284897553362,0.498187618624
 10/01  14:00:00,1.39548802552,0.485840130981,0.0,0.0,0.481867745229,0.162049009524,0.643916754753,0.162049009524,0.0824757707912,0.0169165857393,0.336164252333,0.300939661907,0.465109951759
 10/01  15:00:00,1.6017848065,0.491579550375,0.0,0.0,0.615496765433,0.204738675234,0.820235440667,0.204738675234,0.0868166148324,0.0178069352286,0.344182751906,0.317668063866,0.469697037929
 10/01  16:00:00,1.85534982445,0.539208265754,0.0,0.0,0.707802502738,0.232337391033,0.940139893771,0.232337391033,0.108520702043,0.0222586690357,0.393609915605,0.375745644,0.513325088732
 10/01  17:00:00,2.22315042548,0.633601592301,0.0,0.0,0.790409847498,0.262732565442,1.05314241294,0.262732565442,0.177974007208,0.0365042199465,0.4839838786,0.456470906786,0.6021576688
 10/01  18:00:00,2.38089576538,0.72557724421,0.0,0.0,0.754567956975,0.256455791199,1.01102374817,0.256455791199,0.325562172626,0.0667760071072,0.436869206105,0.495589631367,0.691438633786
 10/01  19:00:00,2.37590794224,0.746806305441,0.0,0.0,0.64769464653,0.22970926226,0.877403908791,0.22970926226,0.512217801418,0.105060912393,0.354604366405,0.511545953236,0.711568546404
 10/01  20:00:00,2.27565170552,0.699478680956,0.0,0.0,0.538569046412,0.196854523435,0.735423569847,0.196854523435,0.564307796917,0.115745078986,0.315968037806,0.529132221962,0.663029494684
 10/01  21:00:00,2.01281032556,0.634456562619,0.0,0.0,0.446783556716,0.164722849455,0.611506406171,0.164722849455,0.473150404541,0.0970478079074,0.299251766429,0.516778940515,0.598858330112
 10/01  22:00:00,1.60136743978,0.535552581005,0.0,0.0,0.342343370773,0.128406728148,0.470750098921,0.128406728148,0.355948014416,0.073008439893,0.239379940853,0.447205945701,0.504746872827
 10/01  23:00:00,1.19249559588,0.42725732267,0.0,0.0,0.242022489619,0.0922180105491,0.334240500168,0.0922180105491,0.247427245876,0.0507497708572,0.156389433469,0.388613645507,0.400487735476
 10/01  24:00:00,0.817538798756,0.310460367296,0.0,0.0,0.167657193801,0.0639021111204,0.231559304921,0.0639021111204,0.12588401171,0.0258200533536,0.0977577511306,0.321442677641,0.2883178412
 10/02  01:00:00,0.655922935254,0.255477007075,0.0,0.0,0.126050450244,0.0477253209808,0.173775771225,0.0477253209808,0.07813492675,0.01602623625,0.0769469663719,0.295964034658,0.235089573119
 10/02  02:00:00,0.569131735391,0.243624799571,0.0,0.0,0.097468928007,0.0369058183694,0.134374746376,0.0369058183694,0.0520899489501,0.0106841611372,0.0643753113384,0.292532567589,0.223473741661
 10/02  03:00:00,0.524097551025,0.246756843061,0.0,0.0,0.0729152801764,0.0277873588038,0.10070263898,0.0277873588038,0.0520899489501,0.0106841611372,0.0571309948506,0.288414807107,0.226889436406
 10/02  04:00:00,0.502741276152,0.281195963248,0.0,0.0,0.0578108742299,0.022017600434,0.0798284746639,0.022017600434,0.0520899489501,0.0106841611372,0.067543792236,0.277519899164,0.262079050538
